,work_roll_diam_1,work_roll_diam_2,work_roll_diam_3,work_roll_diam_4,work_roll_mileage_1,work_roll_mileage_2,work_roll_mileage_3,work_roll_mileage_4,reduction_1,reduction_2,reduction_3,reduction_4,tension_1,tension_2,tension_3,tension_4,tension_5,roll_speed_1,roll_speed_2,roll_speed_3,roll_speed_4,force_1,force_2,force_3,force_4,torque_1,torque_2,torque_3,torque_4,gap_1,gap_2,gap_3,gap_4,current_1,current_2,current_3,current_4
8060,0.0,0.0,3.063386040062094e-10,-9.921911571731827e-10,-2.367555030775699e-09,-7.996402148725476e-09,1.6231622017452906e-10,-5.419632153896252e-09,6.206599728831744e-10,-9.240050401093162e-10,-1.9148657364913576e-09,-5.913898348275481e-10,5.0557511209519836e-11,-7.816457321426535e-11,-6.685565624174803e-11,1.5965529849931515e-10,-8.847564456244961e-11,-3.835053316580961e-10,0.0,-2.6998376208596816e-09,-1.9966890769122383e-09,2.2617834037966245e-11,-1.327467284037233e-09,-3.928185574439017e-10,4.65661287121876e-11,4.556828311883175e-11,8.481687738681148e-11,2.993536846049008e-10,3.1299090820973273e-10,3.635484192643665e-10,-1.7661867389613672e-10,2.6609216132594815e-12,-4.886117365125136e-10,8.554863078476646e-10,2.690857010488502e-10,7.673432785139775e-10,-5.953812164265413e-11
8061,0.0,0.0,2.963601478867876e-10,-8.564841535029749e-10,-1.7109726156643519e-09,-6.542873701908694e-09,4.247496170818103e-10,-3.713316151093826e-09,1.7695128918685362e-10,-1.966088478065471e-09,-5.172166440176834e-10,1.9281703447125413e-09,1.9724081668543684e-10,-8.049287962973955e-11,-2.3283064371582405e-11,-5.371735564423901e-10,-1.8127528675806233e-10,-6.865177835625438e-10,0.0,-7.7898481068428e-10,4.696526698050715e-10,9.645840943320525e-11,-1.5646219252623113e-09,-2.710813922355619e-10,3.362739724883835e-10,1.0643686514992335e-11,4.703179002006421e-10,3.10995216868135e-10,1.653430185115478e-09,1.869297453372526e-10,1.2273501070876403e-10,-3.7751825800502933e-10,1.3038516047466601e-10,-1.0444117442786973e-10,6.153381296876326e-10,7.849718842753924e-10,-1.9956912331775147e-11
8062,0.0,0.0,1.7628605879128305e-10,-5.737612290661331e-10,-1.9897041576038614e-09,-6.754416972377693e-09,-1.609857593214335e-10,-3.926522497613706e-09,-1.3936577103170914e-10,5.474846277595971e-10,-6.848547075116629e-10,1.3763617191029404e-09,-3.741921058722905e-10,4.024643979938117e-11,4.240843866862397e-10,5.458215517706707e-10,3.429262765989752e-10,1.1342178501589005e-10,0.0,-7.813131170068227e-10,2.2451526346141988e-10,-4.490305272326118e-11,-2.2052388102604204e-10,6.984919339354206e-12,1.4688287462866311e-09,9.978456243330587e-13,1.2506331721716986e-10,6.762067122143595e-10,-1.470159207046795e-09,-4.822920479404564e-11,-1.6298145063205404e-11,7.650149703947569e-12,-1.0650338870989746e-09,-1.5765960728162624e-10,1.446876142582281e-10,5.321843283207248e-10,-6.452734982627384e-11
8063,0.0,0.0,1.2772423883042934e-10,-4.689874393785237e-10,-1.5316930201239786e-09,-7.031152823130491e-09,-6.253165863956213e-11,-3.0168199113499064e-09,-5.644480032183732e-10,3.733938293852149e-09,2.573776458049156e-09,-3.949805562016266e-09,-2.660921634943525e-11,-1.7295990687538463e-11,-4.057905509009807e-11,4.912726581567503e-10,1.4568545991353836e-10,9.206788880075545e-10,0.0,2.733764371684302e-09,-4.1942777376235973e-10,-4.9027481250144e-10,2.3163322891396313e-09,3.362739725503379e-10,-1.525040715889478e-09,-9.246702709075905e-11,-8.944022867939502e-10,-3.153192145012981e-10,1.6491061874823148e-09,6.658956408661753e-10,5.920550638291444e-11,3.99138240440062e-12,-4.360585340233504e-10,-8.258835545322985e-10,-1.2566202453601072e-09,-3.9614470935980013e-10,7.417319074791032e-11
8064,0.0,0.0,2.817250788434858e-10,-5.714329225887046e-10,-2.19359727839989e-09,-8.153396525580555e-09,-2.451374061577884e-10,-3.15119645425995e-09,-9.379748788190018e-11,-3.462524287007369e-10,8.973958236979266e-10,-1.1408701541146062e-10,4.0479270468808075e-10,3.758551818612169e-11,-5.03246805493861e-10,1.7462298274040222e-10,-5.251994090743022e-10,-7.384057551914784e-11,0.0,1.3810183321197521e-09,7.367426796052556e-10,-4.856181996085372e-11,-8.455078516353112e-10,-6.153381301522907e-11,-5.597913903564475e-10,3.65876723759254e-12,3.4924596551178163e-10,2.035605056292205e-10,-1.2975319155240817e-09,-3.3228258989811965e-10,3.279585922959337e-10,-6.619042587715468e-11,-8.029331054204558e-10,-6.246513554734382e-10,6.472691893255413e-10,2.7540538996165663e-10,-9.11365662686407e-11
8065,0.0,0.0,2.168651138194267e-10,-5.202101809526369e-10,-1.9800583166202706e-09,-7.789515491087425e-09,8.268814001876088e-10,-2.7972938757933112e-09,-1.7628605872932864e-10,2.2494766329598376e-09,-1.4628416726025872e-09,8.059266422315006e-10,3.728616449882177e-10,3.2596290064456395e-11,1.4601807508034644e-10,-1.4102884705161278e-10,-2.747401594731544e-10,7.364100644074703e-10,0.0,-1.984049699117603e-09,-1.2862229986135188e-09,-2.604377057515468e-10,1.0284462145991403e-09,-4.1676685205616863e-10,-4.746418978647824e-10,-6.851873226165167e-11,-5.671089248626098e-10,5.002532685898845e-10,4.366572414134389e-09,9.020524364978977e-10,2.1287373122916287e-11,-8.6147338085021e-11,-1.8992328221025178e-10,-1.7661867398906835e-10,-6.928374725373046e-10,8.551536926498793e-10,-4.0944931767391517e-10
8066,0.0,0.0,3.6221795847322536e-10,-7.018180830323933e-10,-2.631318888536076e-09,-1.015574006101003e-08,-4.0312962873013154e-10,-4.186960203272321e-09,5.388366321834989e-11,7.590278983215277e-10,-3.511751336589363e-09,4.676569785347213e-09,-4.2608007790392866e-10,1.7329252185632948e-10,-6.080205950885387e-10,-4.856181999183093e-11,1.9324943425005903e-10,7.01818083125325e-11,0.0,-5.288581762964062e-09,-6.675587168551017e-10,-9.180179672616568e-11,-9.313225746154785e-10,-6.58578106360013e-10,1.156170453336638e-09,-2.1819557454861345e-10,7.65014964199316e-12,1.3198171343332855e-09,-1.6930113945502657e-09,2.8604907660055777e-11,1.56661761626316e-10,-1.423593078117767e-10,5.627849271674923e-10,-4.816268172041366e-10,-1.3637223326037102e-11,1.9002306675100102e-09,-5.987073690239383e-11
8067,0.0,0.0,2.993536847597868e-10,-4.4337606871537594e-10,-2.6060401328228955e-09,-9.159224906079774e-09,-5.388366321834989e-11,-2.678882862872596e-09,2.571115536188079e-10,-1.266598701479529e-09,-8.847564459342681e-11,1.064368656703404e-09,-6.253165851565331e-11,1.5632914605680425e-11,-1.7628605823369337e-11,2.9203615019167007e-10,-4.174320825446708e-10,-1.6664021786964656e-10,0.0,-3.2064105775879426e-10,3.0035153032216544e-10,-1.683032938275958e-10,-1.3697094151472348e-09,6.652304110591717e-11,4.041274743234874e-10,-1.2206978028221627e-10,1.5233776393119847e-10,4.2175608014685673e-10,-9.00056745311186e-10,-1.9757343194517655e-10,5.860679915390746e-10,-1.9624297164967067e-11,-1.586574527820505e-10,6.073553647858998e-10,3.805117947541197e-10,4.6366559612102757e-10,-7.417319080986473e-11
8068,0.0,0.0,2.3249802845608436e-10,-1.6198360500772098e-10,-2.6466191879439706e-09,2.1390483847859696e-09,8.381903170671945e-10,-2.1959255848773187e-09,9.845410077480299e-11,5.398344780866268e-10,2.3549156529810632e-09,-3.385690173902746e-09,3.0001891509340295e-10,4.190951575733039e-11,-9.57931791305663e-11,-2.1154327053095334e-10,-3.6820503218824655e-10,-7.749934278771758e-11,0.0,2.8365424701232452e-09,-4.1410593047388634e-10,-3.455871980573487e-10,-8.834259851121498e-10,1.8426882372399311e-10,-7.7898481068428e-10,-8.548210775140484e-11,7.503799029312927e-10,2.2152172668135232e-10,-1.19658320077828e-08,-3.8150964040942996e-10,8.242204785123949e-10,-2.551158624320962e-10,1.9557774075846483e-10,-5.128593849328915e-09,-2.2251957221275376e-10,2.484635582967227e-09,-1.5110708772417468e-09
8069,0.0,0.0,2.9436445657616706e-10,-7.038137741881278e-10,-2.655932413698799e-09,-1.134217849799565e-08,-1.0746797280515884e-09,-2.361567957091655e-09,-1.5406736305880901e-09,3.791480724370046e-09,7.02150698137247e-10,2.9286768819852418e-09,-2.7906415719924915e-10,-5.687720012232627e-11,3.226367492862552e-11,8.315380136690785e-11,6.685565617979363e-11,5.168840288818524e-10,0.0,1.1195827808058267e-09,2.2065692714542654e-09,-3.4691765906533026e-10,1.2912122266732296e-09,-3.3261520521981374e-11,6.432778068901635e-10,-7.181162280646216e-10,-3.8217487083597775e-10,-1.0893147970639128e-09,-3.5882528339076334e-09,-1.1056129421890726e-09,-1.9225158859474877e-10,1.796122102115462e-11,8.514949252264235e-11,-3.682382936987319e-09,-6.748762512993096e-10,-1.6507692635331956e-09,-6.362928874888548e-10
8070,0.0,4.1585105160895273e-08,-5.427670354684934e-09,1.0019090647514668e-08,2.046736578140979e-08,-5.901752350238673e-08,1.214716273050164e-07,-7.411930710073816e-08,-9.306240826820593e-09,-2.7789889524367357e-08,-1.30028929561352e-07,6.043759640305656e-07,8.455632875377488e-10,7.642665877981639e-09,-3.3294782042792476e-10,-1.7768082519367966e-08,5.602642583354099e-08,-7.028381029765534e-08,1.8553808331490574e-07,8.12772971889106e-09,3.6332833891125887e-07,1.8143483127160652e-07,-3.4929253160885576e-08,-4.662821690174998e-09,6.633888309200749e-08,-7.47134132932208e-08,5.779477457199528e-08,-1.914255941946596e-09,-1.3305922038853746e-07,4.28334654618776e-08,-1.045099149148826e-08,-1.948404436344827e-09,4.5984052112965634e-10,-4.144657092794579e-08,8.950762761136055e-07,-2.634866782946545e-10,-2.0139454863966045e-06
